ID,Name,Current Category,Proposed Category,Reason
49776,Telemecanique pneumatic valve PRD-A10 valve automation industry use,Pneumatics,Valves,valve
61889,Bosch 0 821 001 007 valve Bosch valve,Valves,Valves,valve
49855,Festo joint head for pneumatic cylinder SGS-M6 9254 suitable for industry,Pneumatics,Pneumatics,pneumatic
51461,Festo shock absorber pneumatic damper YS-16-25 6310 pneumatic damper Festo,Pneumatics,Pneumatics,pneumatic
53960,SMC swivel flange pneumatic cylinder attachment D5080,Pneumatics,Pneumatics,pneumatic
53986,Bosch pneumatic cylinder double acting 0822332203,Pneumatics,Pneumatics,pneumatic
56192,Festo MEBH-5/3E-D-1-ZSR-C solenoid valve 184497 industrial use solenoid valve,Pneumatics,Valves,valve
54534,Airtec L28320 pneumatic valve for industrial use pneumatic valve valve,Pneumatics,Valves,valve
49843,Festo silencer for pneumatic valves U-3/8-B 6843 Suitable for industry,Pneumatics,Valves,valve
49844,Festo silencer for pneumatic valve U-1/2-B 6844 Suitable for industry,Pneumatics,Valves,valve
49845,Festo silencer for pneumatic valves U3/4-B 6845 Suitable for industry,Pneumatics,Valves,valve
49847,Festo pivot pin pneumatic accessories ZNG-32 31754 Suitable for industry,Pneumatics,Pneumatics,pneumatic
49848,Festo bearing block for pneumatic cylinder LBN-40 195861 Suitable for industry,Pneumatics,Pneumatics,pneumatic
51504,Festo solenoid valve pneumatic valve MEH-5/2-5.0-B 173128 for industrial use,Pneumatics,Valves,valve
51505,Festo solenoid valve pneumatic valve MEH-5/3G-5.0-B 173140 for industrial use,Pneumatics,Valves,valve
51506,Festo solenoid valve pneumatic valve MEH-5/2-5.0-B 173128 for industrial use,Pneumatics,Valves,valve
49850,Festo foot mounting for pneumatic cylinder HP-40 150733 for industry,Pneumatics,Pneumatics,pneumatic
49851,Festo foot mounting for pneumatic cylinder HBN-20/25X2 5128 for industry,Pneumatics,Pneumatics,pneumatic
49854,Festo multiple connector pneumatic accessories KSV-5 7557 suitable for industry,Pneumatics,Pneumatics,pneumatic
54497,Festo LRMA-QS-6 pressure control valve 153496 for industrial use valve,Pneumatics,Valves,valve
51533,Danfoss solenoid valve 121122222023 280/4.5/MG38F solenoid valve from Danfoss,Pneumatics,Valves,valve
